"chemIndex","porosity","sampleNum","freq","amp","strain","stresskpa","cycleLet","cycleNum","stiffness","stiffFrac","damping","dampFrac","nonlinear","strainRate"
"100","71","118",0.3,0.0247185285576235,-0.291336072838228,-99.292455569187,"H",8000,1.03349388321118,1.05753137532236,-6.07032896948612,0.853539162606024,1.48650961624617,0.0296622342691482
"100","71","118",0.3,0.0247185285576235,-0.291336072838228,-99.292455569187,"I",9000,1.04174559963712,1.06597501409222,-6.0709048120509,0.851159119849495,1.49654088646904,0.0296622342691482
"100","71","118",0.3,0.0247185285576235,-0.291336072838228,-99.292455569187,"J",10000,1.04977466126539,1.07419081945326,-6.0715038843221,0.848683692169556,1.44309656536254,0.0296622342691482
"100","71","118",0.3,0.0247185285576235,-0.291336072838228,-99.292455569187,"K",12500,1.0530807361359,1.07757378858498,-6.05335068671046,0.92398692914564,1.62124183051516,0.0296622342691482
"100","71","125",10.0076923076923,0.0231091872177877,-0.291358832726247,-116.381728654345,"A",0,1.32165180791478,1,-5.60181380589276,1,1.56266563089881,0.925078540625903
"100","71","125",10.0076923076923,0.0231091872177877,-0.291358832726247,-116.381728654345,"B",2000,1.2152584819773,0.919499731093818,0.679148972403729,0.995465137014416,1.54548472616424,0.925078540625903
"100","71","125",10.0076923076923,0.0231091872177877,-0.291358832726247,-116.381728654345,"C",3000,1.21047756670467,0.915882352262273,0.678085849517436,0.993301685201432,1.54507565393084,0.925078540625903
"100","71","125",10.0076923076923,0.0231091872177877,-0.291358832726247,-116.381728654345,"D",4000,1.2079126069811,0.913941629518044,0.677327766110771,0.991761249808676,1.54101469289418,0.925078540625903
"100","71","125",10.0076923076923,0.0231091872177877,-0.291358832726247,-116.381728654345,"E",5000,1.20598954147297,0.91248658251049,0.676886973307867,0.990866416506899,1.54446393883982,0.925078540625903
"100","71","125",10.0076923076923,0.0231091872177877,-0.291358832726247,-116.381728654345,"F",6000,1.2047596969177,0.911556046534295,0.676331752086828,0.989740188930989,1.5466425851799,0.925078540625903
"100","71","125",10.0076923076923,0.0231091872177877,-0.291358832726247,-116.381728654345,"G",7000,1.20315788692563,0.910344070745758,0.676056974190208,0.989183192367567,1.54687425269354,0.925078540625903
"100","71","125",10.0076923076923,0.0231091872177877,-0.291358832726247,-116.381728654345,"H",8000,1.201749455152,0.909278410512707,0.675735493332584,0.988531836805465,1.55211934726752,0.925078540625903
"100","71","125",10.0076923076923,0.0231091872177877,-0.291358832726247,-116.381728654345,"I",9000,1.20041506958408,0.908268775781438,0.675494494944712,0.988043767710784,1.54640726639801,0.925078540625903
"100","71","125",10.0076923076923,0.0231091872177877,-0.291358832726247,-116.381728654345,"J",10000,1.19928051706681,0.907410340518476,0.675188921393157,0.987425192159761,1.54748044969587,0.925078540625903
"100","71","125",10.0076923076923,0.0231091872177877,-0.291358832726247,-116.381728654345,"K",12500,1.19592326985856,0.904870150138418,0.674865971808187,0.986771771065275,1.54624086071564,0.925078540625903
"100","71","125",10.0076923076923,0.0231091872177877,-0.291358832726247,-116.381728654345,"L",15000,1.19387957438133,0.903323831005805,0.674475590237662,0.98598236612424,1.54688756346402,0.925078540625903
"100","71","125",10.0076923076923,0.0231091872177877,-0.291358832726247,-116.381728654345,"M",17500,1.19248274927029,0.902266952709515,0.674100672840036,0.985224695627405,1.54794727911695,0.925078540625903
"100","71","126",0.4,0.0240615491024217,-0.291335519171991,-99.9611845602082,"A",0,0.96119237220856,1,0.251995982543849,1,1.44675319654047,0.0384984785638747
"100","71","126",0.4,0.0240615491024217,-0.291335519171991,-99.9611845602082,"B",2000,0.968194119686668,1.00728443928661,-6.05293253687683,0.910439275200665,1.49141735200504,0.0384984785638747
"100","71","126",0.4,0.0240615491024217,-0.291335519171991,-99.9611845602082,"C",3000,0.97033174432357,1.0095083693746,-6.05580946880507,0.898659312529579,1.49275603094268,0.0384984785638747
"100","71","126",0.4,0.0240615491024217,-0.291335519171991,-99.9611845602082,"D",4000,0.973839848899247,1.01315811179569,-6.05763048247093,0.891211055080274,1.49624926313707,0.0384984785638747
"100","71","126",0.4,0.0240615491024217,-0.291335519171991,-99.9611845602082,"E",5000,0.975363606223354,1.01474339000655,-6.05889591119039,0.886038902594957,1.5005780560529,0.0384984785638747
"100","71","126",0.4,0.0240615491024217,-0.291335519171991,-99.9611845602082,"F",6000,0.976681071177405,1.01611404690328,-6.05985868295036,0.882105792410194,1.50387298963051,0.0384984785638747
